               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 100,            0.038105,            0.078961,          0.00072547,             0.97561,             0.90313,             0.95215,             0.81705,            0.028795,            0.034531,           0.0003231,            0.006733,            0.006733,            0.006733
                 101,            0.038209,            0.078675,          0.00072603,             0.97383,             0.91183,             0.95162,             0.81581,            0.028684,            0.034584,          0.00032568,              0.0067,              0.0067,              0.0067
                 102,            0.038443,            0.078092,          0.00074059,             0.97234,             0.91284,             0.95191,             0.81991,            0.028791,            0.034409,          0.00034084,            0.006667,            0.006667,            0.006667
                 103,            0.037954,            0.077491,          0.00073571,             0.97218,             0.91357,             0.95305,             0.82386,            0.028626,            0.034096,          0.00032244,            0.006634,            0.006634,            0.006634
                 104,            0.038085,            0.078081,          0.00072032,             0.96913,             0.91439,             0.95409,             0.82152,            0.028633,            0.034508,          0.00031652,            0.006601,            0.006601,            0.006601
                 105,            0.037907,            0.077837,          0.00071245,             0.96553,             0.90049,             0.95084,             0.82054,            0.028548,            0.034782,          0.00032706,            0.006568,            0.006568,            0.006568
                 106,            0.037972,            0.077846,          0.00069847,             0.97534,             0.91449,             0.95187,             0.81939,            0.028565,            0.034576,          0.00031877,            0.006535,            0.006535,            0.006535
                 107,            0.038197,            0.077995,          0.00073441,             0.95884,               0.911,             0.95054,             0.81245,            0.028748,            0.034943,          0.00031986,            0.006502,            0.006502,            0.006502
                 108,            0.038134,            0.077526,          0.00072463,             0.97506,             0.91292,              0.9513,             0.81751,            0.028682,            0.034546,          0.00031104,            0.006469,            0.006469,            0.006469
                 109,             0.03795,            0.077446,          0.00071512,             0.98119,             0.91172,             0.95407,             0.82421,            0.028393,            0.034058,          0.00031276,            0.006436,            0.006436,            0.006436
                 110,            0.037818,            0.077304,          0.00075467,             0.98009,              0.9182,             0.95548,             0.81883,            0.028718,            0.034317,          0.00032105,            0.006403,            0.006403,            0.006403
                 111,            0.037708,            0.077014,          0.00074779,             0.97516,             0.91156,             0.95576,             0.82687,            0.028445,            0.033707,          0.00029912,             0.00637,             0.00637,             0.00637
                 112,             0.03793,              0.0777,          0.00070777,             0.97056,             0.90839,             0.95248,             0.82107,            0.028594,            0.034264,          0.00031309,            0.006337,            0.006337,            0.006337
                 113,            0.037921,            0.077739,          0.00072296,             0.97687,             0.90363,             0.95495,             0.82592,             0.02841,            0.034386,           0.0003089,            0.006304,            0.006304,            0.006304
                 114,            0.037899,            0.077345,          0.00071255,             0.97527,             0.91443,             0.95821,             0.82115,            0.028829,            0.034203,          0.00031834,            0.006271,            0.006271,            0.006271
                 115,            0.037686,            0.077261,          0.00071893,             0.97784,             0.91403,             0.95539,             0.82281,            0.028512,            0.034241,          0.00028849,            0.006238,            0.006238,            0.006238
                 116,            0.037812,            0.077464,          0.00070256,             0.97262,             0.90783,             0.95267,             0.82357,            0.028521,            0.034012,          0.00031624,            0.006205,            0.006205,            0.006205
                 117,            0.037685,            0.076884,          0.00070134,             0.97744,             0.92101,             0.95737,             0.82542,            0.028405,            0.034317,          0.00030532,            0.006172,            0.006172,            0.006172
                 118,            0.037625,            0.077259,          0.00070319,             0.97682,             0.91061,             0.95803,             0.82628,            0.028205,            0.033966,          0.00029454,            0.006139,            0.006139,            0.006139
                 119,            0.037749,            0.076343,          0.00071567,             0.98288,             0.91204,             0.95629,              0.8287,            0.028194,            0.033356,           0.0003027,            0.006106,            0.006106,            0.006106
                 120,            0.037805,            0.076602,          0.00070601,             0.98055,             0.90926,             0.95538,             0.82681,            0.028195,            0.033752,          0.00030913,            0.006073,            0.006073,            0.006073
                 121,            0.037699,             0.07651,          0.00071343,             0.97644,             0.90636,             0.95183,              0.8226,            0.028424,            0.033287,          0.00031824,             0.00604,             0.00604,             0.00604
                 122,            0.037717,            0.076776,          0.00069715,             0.97699,             0.91925,             0.95628,             0.82816,            0.028297,            0.033745,          0.00031734,            0.006007,            0.006007,            0.006007
                 123,            0.037401,            0.075934,           0.0006809,             0.97729,             0.91805,             0.95847,             0.83217,            0.028256,            0.032959,          0.00029774,            0.005974,            0.005974,            0.005974
                 124,            0.037693,            0.076097,          0.00071047,             0.98015,             0.91319,             0.95524,             0.82914,            0.028116,            0.033051,          0.00031004,            0.005941,            0.005941,            0.005941
                 125,            0.037418,            0.076367,          0.00070691,              0.9765,             0.90809,             0.95742,             0.83265,            0.027957,            0.033066,          0.00028353,            0.005908,            0.005908,            0.005908
                 126,            0.037502,            0.076206,          0.00069474,             0.97769,              0.9178,             0.95842,             0.83227,            0.028013,            0.033577,          0.00030284,            0.005875,            0.005875,            0.005875
                 127,            0.037488,            0.076178,          0.00068483,             0.98051,             0.91244,             0.95775,             0.83245,            0.028094,            0.032669,          0.00030632,            0.005842,            0.005842,            0.005842
                 128,            0.037406,            0.076497,          0.00067937,             0.97676,             0.92051,             0.95778,              0.8306,            0.028001,            0.032616,          0.00028639,            0.005809,            0.005809,            0.005809
                 129,            0.037338,            0.075294,          0.00069661,             0.97958,             0.91776,             0.95513,             0.82684,            0.028171,            0.033531,           0.0002861,            0.005776,            0.005776,            0.005776
                 130,            0.037446,            0.075629,          0.00068597,             0.97504,             0.91544,             0.95194,             0.82322,             0.02831,            0.033607,          0.00029254,            0.005743,            0.005743,            0.005743
                 131,            0.037401,            0.075787,          0.00069212,             0.97677,             0.91025,             0.95533,             0.82893,            0.028178,            0.033371,          0.00028677,             0.00571,             0.00571,             0.00571
                 132,             0.03743,            0.075983,          0.00065131,             0.98145,              0.9126,              0.9556,             0.82904,            0.028223,            0.033142,          0.00028887,            0.005677,            0.005677,            0.005677
                 133,            0.037462,            0.075397,          0.00067427,             0.97852,             0.91611,              0.9539,              0.8303,            0.028079,            0.033051,          0.00028529,            0.005644,            0.005644,            0.005644
                 134,            0.037018,            0.075128,          0.00068621,             0.97408,             0.91152,             0.95488,             0.82963,            0.028016,            0.033203,          0.00029459,            0.005611,            0.005611,            0.005611
                 135,            0.037189,            0.074795,          0.00067549,             0.97488,             0.91343,             0.95296,             0.82513,            0.028312,            0.033562,          0.00028853,            0.005578,            0.005578,            0.005578
                 136,            0.037373,             0.07551,          0.00067052,             0.97203,             0.91181,             0.95431,             0.82911,            0.028169,             0.03331,          0.00029011,            0.005545,            0.005545,            0.005545
                 137,            0.037112,             0.07523,          0.00067268,             0.97109,             0.91704,             0.95353,             0.82811,            0.027989,            0.033768,          0.00028553,            0.005512,            0.005512,            0.005512
                 138,            0.036973,            0.074995,          0.00065062,             0.98133,             0.90944,             0.95445,             0.82882,            0.028015,            0.033081,          0.00027137,            0.005479,            0.005479,            0.005479
                 139,            0.037005,            0.074978,          0.00066632,             0.97769,             0.91594,             0.95443,             0.83286,            0.027846,            0.033195,          0.00028129,            0.005446,            0.005446,            0.005446
                 140,            0.037033,            0.075097,           0.0006523,              0.9791,             0.91201,             0.95209,             0.83158,            0.028021,            0.033333,          0.00027924,            0.005413,            0.005413,            0.005413
                 141,            0.037086,            0.075026,          0.00067316,             0.98128,             0.91323,              0.9567,             0.83593,            0.027745,            0.032547,          0.00028811,             0.00538,             0.00538,             0.00538
                 142,            0.037148,            0.073907,          0.00064625,             0.97847,             0.91545,              0.9567,              0.8324,             0.02785,            0.032539,          0.00029016,            0.005347,            0.005347,            0.005347
                 143,            0.036936,            0.074235,          0.00066732,             0.97704,             0.91073,             0.95286,             0.83186,            0.027884,            0.032906,          0.00028667,            0.005314,            0.005314,            0.005314
                 144,             0.03702,             0.07434,          0.00066365,             0.97623,             0.91761,               0.957,             0.83441,            0.027888,            0.032768,          0.00028653,            0.005281,            0.005281,            0.005281
                 145,              0.0367,            0.074013,          0.00063701,             0.97342,             0.91451,             0.95293,             0.82907,            0.027999,            0.033501,          0.00028739,            0.005248,            0.005248,            0.005248
                 146,            0.036776,             0.07432,          0.00062014,             0.97626,             0.91689,             0.95597,             0.83383,            0.027791,            0.032425,          0.00027704,            0.005215,            0.005215,            0.005215
                 147,            0.036905,            0.074274,          0.00065671,             0.97746,             0.91445,             0.95317,             0.83304,             0.02785,            0.032379,          0.00026727,            0.005182,            0.005182,            0.005182
                 148,            0.036772,            0.074047,          0.00065278,             0.97863,             0.91382,             0.95483,             0.83286,            0.027875,            0.032486,          0.00025816,            0.005149,            0.005149,            0.005149
                 149,            0.036788,            0.074199,            0.000628,             0.98022,             0.91435,             0.95454,             0.83457,             0.02773,            0.032669,          0.00027032,            0.005116,            0.005116,            0.005116
                 150,            0.036883,             0.07365,          0.00063165,             0.97904,             0.91259,             0.95457,             0.83211,            0.027789,            0.032722,           0.0002738,            0.005083,            0.005083,            0.005083
                 151,            0.036978,            0.074668,          0.00064547,             0.97612,             0.91662,             0.95398,              0.8327,            0.027868,            0.032974,          0.00027585,             0.00505,             0.00505,             0.00505
                 152,            0.036828,            0.073583,          0.00066347,             0.97994,             0.91552,             0.95394,             0.83683,            0.027694,            0.032799,          0.00027962,            0.005017,            0.005017,            0.005017
                 153,            0.036595,            0.073263,          0.00063726,             0.97705,             0.91832,             0.95766,             0.83679,            0.027723,            0.032402,          0.00027518,            0.004984,            0.004984,            0.004984
                 154,            0.036685,             0.07316,          0.00062824,             0.97841,             0.91708,             0.95467,             0.83659,            0.027695,            0.032257,          0.00028133,            0.004951,            0.004951,            0.004951
                 155,            0.036662,            0.073481,          0.00066138,             0.97858,             0.91975,             0.95477,             0.83618,            0.027596,            0.032272,          0.00027394,            0.004918,            0.004918,            0.004918
                 156,            0.036453,            0.072971,          0.00063787,             0.97839,             0.91778,             0.95691,             0.83723,            0.027596,            0.032204,          0.00026879,            0.004885,            0.004885,            0.004885
                 157,            0.036468,            0.073414,          0.00061716,             0.97861,             0.91511,             0.95644,             0.83693,            0.027702,            0.032455,           0.0002831,            0.004852,            0.004852,            0.004852
                 158,            0.036671,            0.073492,          0.00062942,             0.97292,             0.91698,             0.95582,             0.83451,            0.027696,            0.032379,          0.00028386,            0.004819,            0.004819,            0.004819
                 159,            0.036319,            0.072987,          0.00063413,             0.97518,             0.91629,             0.95517,             0.83393,            0.027733,             0.03273,           0.0002789,            0.004786,            0.004786,            0.004786
